,Address,Brand,Price,Self,Store,Si
2591,경기 화성시 경기동로 516,GS칼텍스,1515,N,해뜨는주유소,화성시
2592,경기 화성시 매송면 매송고색로 376,S-OIL,1516,Y,㈜씨티에너지 무궁화주유소,화성시
2593,경기 화성시 봉담읍 삼천병마로 862,현대오일뱅크,1516,Y,현대오일뱅크㈜직영 봉담셀프주유소,화성시
2594,경기 화성시 남양읍 화성로 1166,SK에너지,1517,Y,화성허브주유소,화성시
2595,경기 화성시 남양읍 화성로 1420,GS칼텍스,1517,Y,북양스타주유소,화성시
2596,경기 화성시 서신면 전곡항로 190,GS칼텍스,1517,N,휴게주유소,화성시
2597,경기 화성시 남양읍 화성로 1286,S-OIL,1517,N,화성뉴시티주유소,화성시
2598,경기 화성시 정남면 괘랑1길 1-6,S-OIL,1518,N,정남주유소,화성시
2599,경기 화성시 서부로 1343,SK에너지,1518,Y,기안셀프주유소,화성시
2600,경기 화성시 정남면 세자로 257,SK에너지,1518,Y,삼미상사(주)동하셀프주유소,화성시
2602,경기 화성시 봉담읍 세자로 352,현대오일뱅크,1519,Y,현대오일뱅크㈜ 직영 화성현대self주유소,화성시
2604,경기 화성시 효행로 568 (안녕동),현대오일뱅크,1519,N,현대오일뱅크(주)직영 태안현대주유소,화성시
2605,경기 화성시 서신면 마도로 6,SK에너지,1519,N,상안주유소,화성시
2606,경기 화성시 팔탄면 서해로 962,SK에너지,1519,Y,SK에너지(주) 서해로셀프주유소,화성시
2607,경기 화성시 향남읍 발안만세길 156,SK에너지,1519,Y,민들레셀프주유소,화성시
2608,경기 화성시 팔탄면 포승향남로 2298,SK에너지,1519,Y,KH에너지(주)직영 KH덕우주유소(셀프),화성시
2609,경기 화성시 효행로 767 (안녕동),현대오일뱅크,1519,Y,현대오일뱅크㈜직영 효행로셀프주유소,화성시
2610,경기 화성시 삼성1로 231 (석우동),현대오일뱅크,1523,Y,현대오일뱅크㈜직영 프리미엄셀프주유소,화성시
2611,경기 화성시 정남면 서봉로 863,현대오일뱅크,1524,Y,진성셀프오일뱅크,화성시
2613,경기 화성시 팔탄면 서해로 833,현대오일뱅크,1524,N,현대오일뱅크(주)직영 해오름주유소,화성시
2614,경기 화성시 남양읍 무하로 124,SK에너지,1525,N,호성주유소,화성시
2615,경기 화성시 팔탄면 서해로 1271,S-OIL,1526,N,혜성주유소,화성시
2616,경기 화성시 우정읍 기아자동차로 386,현대오일뱅크,1527,N,기아현대주유소,화성시
2617,경기도 화성시 정남면 가장로 319,SK에너지,1527,N,(주)주은에너지,화성시
2618,경기 화성시 서신면 궁평항로 1679,SK에너지,1528,N,매화주유소,화성시
2619,경기 화성시 양감면 은행나무로 442,현대오일뱅크,1528,N,신정오일(주)경기점,화성시
2620,경기 화성시 장안면 3.1만세로 562,SK에너지,1528,N,발안고속주유소,화성시
